"NúmeroDoPedido";"CódigoDoCliente";"CódigoDoFuncionário";"DataDoPedido";"DataDeEntrega";"DataDeEnvio";"Via";"Frete";"NomeDoDestinatário";"EndereçoDoDestinatário";"CidadeDeDestino";"RegiãoDeDestino";"CEPdeDestino";"PaísDeDestino"
10507;"ANTON";7;15/4/1997 00:00:00;13/5/1997 00:00:00;22/4/1997 00:00:00;1;R$ 47,45;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10508;"OTTIK";1;16/4/1997 00:00:00;14/5/1997 00:00:00;13/5/1997 00:00:00;2;R$ 4,99;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10509;"BLAUS";4;17/4/1997 00:00:00;15/5/1997 00:00:00;29/4/1997 00:00:00;1;R$ 0,15;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Alemanha"
10510;"SAVEA";6;18/4/1997 00:00:00;16/5/1997 00:00:00;28/4/1997 00:00:00;3;R$ 367,63;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10511;"BONAP";4;18/4/1997 00:00:00;16/5/1997 00:00:00;21/4/1997 00:00:00;3;R$ 350,64;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10512;"FAMIA";7;21/4/1997 00:00:00;19/5/1997 00:00:00;24/4/1997 00:00:00;2;R$ 3,53;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10513;"WANDK";7;22/4/1997 00:00:00;3/6/1997 00:00:00;28/4/1997 00:00:00;1;R$ 105,65;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10514;"ERNSH";3;22/4/1997 00:00:00;20/5/1997 00:00:00;16/5/1997 00:00:00;2;R$ 789,95;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10515;"QUICK";2;23/4/1997 00:00:00;7/5/1997 00:00:00;23/5/1997 00:00:00;1;R$ 204,47;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10516;"HUNGO";2;24/4/1997 00:00:00;22/5/1997 00:00:00;1/5/1997 00:00:00;3;R$ 62,78;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10517;"NORTS";3;24/4/1997 00:00:00;22/5/1997 00:00:00;29/4/1997 00:00:00;3;R$ 32,07;"North/South";"South House 300 Queensbridge";"London";;"SW7 1RZ";"Reino Unido"
10518;"TORTU";4;25/4/1997 00:00:00;9/5/1997 00:00:00;5/5/1997 00:00:00;2;R$ 218,15;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10519;"CHOPS";6;28/4/1997 00:00:00;26/5/1997 00:00:00;1/5/1997 00:00:00;3;R$ 91,76;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suíça"
10520;"SANTG";7;29/4/1997 00:00:00;27/5/1997 00:00:00;1/5/1997 00:00:00;1;R$ 13,37;"Santé Gourmet";"Erling Skakkes gate 78";"Stavern";;"4110";"Noruega"
10521;"CACTU";8;29/4/1997 00:00:00;27/5/1997 00:00:00;2/5/1997 00:00:00;2;R$ 17,22;"Cactus Comidas para llevar";"Cerrito 333";"Buenos Aires";;"1010";"Argentina"
10522;"LEHMS";4;30/4/1997 00:00:00;28/5/1997 00:00:00;6/5/1997 00:00:00;1;R$ 45,33;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10523;"SEVES";7;1/5/1997 00:00:00;29/5/1997 00:00:00;30/5/1997 00:00:00;2;R$ 77,63;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
10524;"BERGS";1;1/5/1997 00:00:00;29/5/1997 00:00:00;7/5/1997 00:00:00;2;R$ 244,79;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10525;"BONAP";1;2/5/1997 00:00:00;30/5/1997 00:00:00;23/5/1997 00:00:00;2;R$ 11,06;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10526;"WARTH";4;5/5/1997 00:00:00;2/6/1997 00:00:00;15/5/1997 00:00:00;2;R$ 58,59;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10527;"QUICK";7;5/5/1997 00:00:00;2/6/1997 00:00:00;7/5/1997 00:00:00;1;R$ 41,90;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10528;"GREAL";6;6/5/1997 00:00:00;20/5/1997 00:00:00;9/5/1997 00:00:00;2;R$ 3,35;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10529;"MAISD";5;7/5/1997 00:00:00;4/6/1997 00:00:00;9/5/1997 00:00:00;2;R$ 66,69;"Maison Dewey";"Rue Joseph-Bens 532";"Bruxelles";;"B-1180";"Bélgica"
10530;"PICCO";3;8/5/1997 00:00:00;5/6/1997 00:00:00;12/5/1997 00:00:00;2;R$ 339,22;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10531;"OCEAN";7;8/5/1997 00:00:00;5/6/1997 00:00:00;19/5/1997 00:00:00;1;R$ 8,12;"Océano Atlántico Ltda.";"Ing. Gustavo Moncada 8585 Piso 20-A";"Buenos Aires";;"1010";"Argentina"
10532;"EASTC";7;9/5/1997 00:00:00;6/6/1997 00:00:00;12/5/1997 00:00:00;3;R$ 74,46;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Reino Unido"
10533;"FOLKO";8;12/5/1997 00:00:00;9/6/1997 00:00:00;22/5/1997 00:00:00;1;R$ 188,04;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10534;"LEHMS";8;12/5/1997 00:00:00;9/6/1997 00:00:00;14/5/1997 00:00:00;2;R$ 27,94;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10535;"ANTON";4;13/5/1997 00:00:00;10/6/1997 00:00:00;21/5/1997 00:00:00;1;R$ 15,64;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10536;"LEHMS";3;14/5/1997 00:00:00;11/6/1997 00:00:00;6/6/1997 00:00:00;2;R$ 58,88;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10537;"RICSU";1;14/5/1997 00:00:00;28/5/1997 00:00:00;19/5/1997 00:00:00;1;R$ 78,85;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10538;"BSBEV";9;15/5/1997 00:00:00;12/6/1997 00:00:00;16/5/1997 00:00:00;3;R$ 4,87;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10539;"BSBEV";6;16/5/1997 00:00:00;13/6/1997 00:00:00;23/5/1997 00:00:00;3;R$ 12,36;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10540;"QUICK";3;19/5/1997 00:00:00;16/6/1997 00:00:00;13/6/1997 00:00:00;3;R$ 1007,64;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10541;"HANAR";2;19/5/1997 00:00:00;16/6/1997 00:00:00;29/5/1997 00:00:00;1;R$ 68,65;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brasil"
10542;"KOENE";1;20/5/1997 00:00:00;17/6/1997 00:00:00;26/5/1997 00:00:00;3;R$ 10,95;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10543;"LILAS";8;21/5/1997 00:00:00;18/6/1997 00:00:00;23/5/1997 00:00:00;2;R$ 48,17;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10544;"LONEP";4;21/5/1997 00:00:00;18/6/1997 00:00:00;30/5/1997 00:00:00;1;R$ 24,91;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"EUA"
10545;"LAZYK";8;22/5/1997 00:00:00;19/6/1997 00:00:00;26/6/1997 00:00:00;2;R$ 11,92;"Lazy K Kountry Store";"12 Orchestra Terrace";"Walla Walla";"WA";"99362";"EUA"
10546;"VICTE";1;23/5/1997 00:00:00;20/6/1997 00:00:00;27/5/1997 00:00:00;3;R$ 194,72;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10547;"SEVES";3;23/5/1997 00:00:00;20/6/1997 00:00:00;2/6/1997 00:00:00;2;R$ 178,43;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
10548;"TOMSP";3;26/5/1997 00:00:00;23/6/1997 00:00:00;2/6/1997 00:00:00;2;R$ 1,43;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Alemanha"
10549;"QUICK";5;27/5/1997 00:00:00;10/6/1997 00:00:00;30/5/1997 00:00:00;1;R$ 171,24;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10550;"GODOS";7;28/5/1997 00:00:00;25/6/1997 00:00:00;6/6/1997 00:00:00;3;R$ 4,32;"Godos Cocina Típica";"C/ Romero, 33";"Sevilla";;"41101";"Espanha"
10551;"FURIB";4;28/5/1997 00:00:00;9/7/1997 00:00:00;6/6/1997 00:00:00;3;R$ 72,95;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10552;"HILAA";2;29/5/1997 00:00:00;26/6/1997 00:00:00;5/6/1997 00:00:00;1;R$ 83,22;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10553;"WARTH";2;30/5/1997 00:00:00;27/6/1997 00:00:00;3/6/1997 00:00:00;2;R$ 149,49;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10554;"OTTIK";4;30/5/1997 00:00:00;27/6/1997 00:00:00;5/6/1997 00:00:00;3;R$ 120,97;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10555;"SAVEA";6;2/6/1997 00:00:00;30/6/1997 00:00:00;4/6/1997 00:00:00;3;R$ 252,49;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10556;"SIMOB";2;3/6/1997 00:00:00;15/7/1997 00:00:00;13/6/1997 00:00:00;1;R$ 9,80;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Dinamarca"
10557;"LEHMS";9;3/6/1997 00:00:00;17/6/1997 00:00:00;6/6/1997 00:00:00;2;R$ 96,72;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10558;"AROUT";1;4/6/1997 00:00:00;2/7/1997 00:00:00;10/6/1997 00:00:00;2;R$ 72,97;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10559;"BLONP";6;5/6/1997 00:00:00;3/7/1997 00:00:00;13/6/1997 00:00:00;1;R$ 8,05;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10560;"FRANK";8;6/6/1997 00:00:00;4/7/1997 00:00:00;9/6/1997 00:00:00;1;R$ 36,65;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10561;"FOLKO";2;6/6/1997 00:00:00;4/7/1997 00:00:00;9/6/1997 00:00:00;2;R$ 242,21;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10562;"REGGC";1;9/6/1997 00:00:00;7/7/1997 00:00:00;12/6/1997 00:00:00;1;R$ 22,95;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10563;"RICAR";2;10/6/1997 00:00:00;22/7/1997 00:00:00;24/6/1997 00:00:00;2;R$ 60,43;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10564;"RATTC";4;10/6/1997 00:00:00;8/7/1997 00:00:00;16/6/1997 00:00:00;3;R$ 13,75;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10565;"MEREP";8;11/6/1997 00:00:00;9/7/1997 00:00:00;18/6/1997 00:00:00;2;R$ 7,15;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10566;"BLONP";9;12/6/1997 00:00:00;10/7/1997 00:00:00;18/6/1997 00:00:00;1;R$ 88,40;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10567;"HUNGO";1;12/6/1997 00:00:00;10/7/1997 00:00:00;17/6/1997 00:00:00;1;R$ 33,97;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10568;"GALED";3;13/6/1997 00:00:00;11/7/1997 00:00:00;9/7/1997 00:00:00;3;R$ 6,54;"Galería del gastronómo";"Rambla de Cataluña, 23";"Barcelona";;"8022";"Espanha"
10569;"RATTC";5;16/6/1997 00:00:00;14/7/1997 00:00:00;11/7/1997 00:00:00;1;R$ 58,98;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10570;"MEREP";3;17/6/1997 00:00:00;15/7/1997 00:00:00;19/6/1997 00:00:00;3;R$ 188,99;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10571;"ERNSH";8;17/6/1997 00:00:00;29/7/1997 00:00:00;4/7/1997 00:00:00;3;R$ 26,06;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10572;"BERGS";3;18/6/1997 00:00:00;16/7/1997 00:00:00;25/6/1997 00:00:00;2;R$ 116,43;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10573;"ANTON";7;19/6/1997 00:00:00;17/7/1997 00:00:00;20/6/1997 00:00:00;3;R$ 84,84;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10574;"TRAIH";4;19/6/1997 00:00:00;17/7/1997 00:00:00;30/6/1997 00:00:00;2;R$ 37,60;"Trail's Head Gourmet Provisioners";"722 DaVinci Blvd.";"Kirkland";"WA";"98034";"EUA"
10575;"MORGK";5;20/6/1997 00:00:00;4/7/1997 00:00:00;30/6/1997 00:00:00;1;R$ 127,34;"Morgenstern Gesundkost";"Heerstr. 22";"Leipzig";;"04179";"Alemanha"
10576;"TORTU";3;23/6/1997 00:00:00;7/7/1997 00:00:00;30/6/1997 00:00:00;3;R$ 18,56;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10577;"TRAIH";9;23/6/1997 00:00:00;4/8/1997 00:00:00;30/6/1997 00:00:00;2;R$ 25,41;"Trail's Head Gourmet Provisioners";"722 DaVinci Blvd.";"Kirkland";"WA";"98034";"EUA"
10578;"BSBEV";4;24/6/1997 00:00:00;22/7/1997 00:00:00;25/7/1997 00:00:00;3;R$ 29,60;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10579;"LETSS";1;25/6/1997 00:00:00;23/7/1997 00:00:00;4/7/1997 00:00:00;2;R$ 13,73;"Let's Stop N Shop";"87 Polk St. Suite 5";"San Francisco";"CA";"94117";"EUA"
10580;"OTTIK";4;26/6/1997 00:00:00;24/7/1997 00:00:00;1/7/1997 00:00:00;3;R$ 75,89;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10581;"FAMIA";3;26/6/1997 00:00:00;24/7/1997 00:00:00;2/7/1997 00:00:00;1;R$ 3,01;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10582;"BLAUS";3;27/6/1997 00:00:00;25/7/1997 00:00:00;14/7/1997 00:00:00;2;R$ 27,71;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Alemanha"
10583;"WARTH";2;30/6/1997 00:00:00;28/7/1997 00:00:00;4/7/1997 00:00:00;2;R$ 7,28;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10584;"BLONP";4;30/6/1997 00:00:00;28/7/1997 00:00:00;4/7/1997 00:00:00;1;R$ 59,14;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10585;"WELLI";7;1/7/1997 00:00:00;29/7/1997 00:00:00;10/7/1997 00:00:00;1;R$ 13,41;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brasil"
10586;"REGGC";9;2/7/1997 00:00:00;30/7/1997 00:00:00;9/7/1997 00:00:00;1;R$ 0,48;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10587;"QUEDE";1;2/7/1997 00:00:00;30/7/1997 00:00:00;9/7/1997 00:00:00;1;R$ 62,52;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10588;"QUICK";2;3/7/1997 00:00:00;31/7/1997 00:00:00;10/7/1997 00:00:00;3;R$ 194,67;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10589;"GREAL";8;4/7/1997 00:00:00;1/8/1997 00:00:00;14/7/1997 00:00:00;2;R$ 4,42;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10590;"MEREP";4;7/7/1997 00:00:00;4/8/1997 00:00:00;14/7/1997 00:00:00;3;R$ 44,77;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10591;"VAFFE";1;7/7/1997 00:00:00;21/7/1997 00:00:00;16/7/1997 00:00:00;1;R$ 55,92;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10592;"LEHMS";3;8/7/1997 00:00:00;5/8/1997 00:00:00;16/7/1997 00:00:00;1;R$ 32,10;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10593;"LEHMS";7;9/7/1997 00:00:00;6/8/1997 00:00:00;13/8/1997 00:00:00;2;R$ 174,20;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10594;"OLDWO";3;9/7/1997 00:00:00;6/8/1997 00:00:00;16/7/1997 00:00:00;2;R$ 5,24;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10595;"ERNSH";2;10/7/1997 00:00:00;7/8/1997 00:00:00;14/7/1997 00:00:00;1;R$ 96,78;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10596;"WHITC";8;11/7/1997 00:00:00;8/8/1997 00:00:00;12/8/1997 00:00:00;1;R$ 16,34;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10597;"PICCO";7;11/7/1997 00:00:00;8/8/1997 00:00:00;18/7/1997 00:00:00;3;R$ 35,12;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10598;"RATTC";1;14/7/1997 00:00:00;11/8/1997 00:00:00;18/7/1997 00:00:00;3;R$ 44,42;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10599;"BSBEV";6;15/7/1997 00:00:00;26/8/1997 00:00:00;21/7/1997 00:00:00;3;R$ 29,98;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10600;"HUNGC";4;16/7/1997 00:00:00;13/8/1997 00:00:00;21/7/1997 00:00:00;1;R$ 45,13;"Hungry Coyote Import Store";"City Center Plaza 516 Main St.";"Elgin";"OR";"97827";"EUA"
10601;"HILAA";7;16/7/1997 00:00:00;27/8/1997 00:00:00;22/7/1997 00:00:00;1;R$ 58,30;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10602;"VAFFE";8;17/7/1997 00:00:00;14/8/1997 00:00:00;22/7/1997 00:00:00;2;R$ 2,92;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10603;"SAVEA";8;18/7/1997 00:00:00;15/8/1997 00:00:00;8/8/1997 00:00:00;2;R$ 48,77;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10604;"FURIB";1;18/7/1997 00:00:00;15/8/1997 00:00:00;29/7/1997 00:00:00;1;R$ 7,46;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10605;"MEREP";1;21/7/1997 00:00:00;18/8/1997 00:00:00;29/7/1997 00:00:00;2;R$ 379,13;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10606;"TRADH";4;22/7/1997 00:00:00;19/8/1997 00:00:00;31/7/1997 00:00:00;3;R$ 79,40;"Tradição Hipermercados";"Av. Inês de Castro, 414";"São Paulo";"SP";"05634-030";"Brasil"
10607;"SAVEA";5;22/7/1997 00:00:00;19/8/1997 00:00:00;25/7/1997 00:00:00;1;R$ 200,24;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10608;"TOMSP";4;23/7/1997 00:00:00;20/8/1997 00:00:00;1/8/1997 00:00:00;2;R$ 27,79;"Toms Spezialitäten";"Luisenstr. 48";"Münster";;"44087";"Alemanha"
10609;"DUMON";7;24/7/1997 00:00:00;21/8/1997 00:00:00;30/7/1997 00:00:00;2;R$ 1,85;"Du monde entier";"67, rue des Cinquante Otages";"Nantes";;"44000";"França"
10610;"LAMAI";8;25/7/1997 00:00:00;22/8/1997 00:00:00;6/8/1997 00:00:00;1;R$ 26,78;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10611;"WOLZA";6;25/7/1997 00:00:00;22/8/1997 00:00:00;1/8/1997 00:00:00;2;R$ 80,65;"Wolski Zajazd";"ul. Filtrowa 68";"Warszawa";;"01-012";"Polônia"
10612;"SAVEA";1;28/7/1997 00:00:00;25/8/1997 00:00:00;1/8/1997 00:00:00;2;R$ 544,08;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10613;"HILAA";4;29/7/1997 00:00:00;26/8/1997 00:00:00;1/8/1997 00:00:00;2;R$ 8,11;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10614;"BLAUS";8;29/7/1997 00:00:00;26/8/1997 00:00:00;1/8/1997 00:00:00;3;R$ 1,93;"Blauer See Delikatessen";"Forsterstr. 57";"Mannheim";;"68306";"Alemanha"
10615;"WILMK";2;30/7/1997 00:00:00;27/8/1997 00:00:00;6/8/1997 00:00:00;3;R$ 0,75;"Wilman Kala";"Keskuskatu 45";"Helsinki";;"21240";"Finlândia"
10616;"GREAL";1;31/7/1997 00:00:00;28/8/1997 00:00:00;5/8/1997 00:00:00;2;R$ 116,53;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10617;"GREAL";4;31/7/1997 00:00:00;28/8/1997 00:00:00;4/8/1997 00:00:00;2;R$ 18,53;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10618;"MEREP";1;1/8/1997 00:00:00;12/9/1997 00:00:00;8/8/1997 00:00:00;1;R$ 154,68;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10619;"MEREP";3;4/8/1997 00:00:00;1/9/1997 00:00:00;7/8/1997 00:00:00;3;R$ 91,05;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10620;"LAUGB";2;5/8/1997 00:00:00;2/9/1997 00:00:00;14/8/1997 00:00:00;3;R$ 0,94;"Laughing Bacchus Wine Cellars";"2319 Elm St.";"Vancouver";"BC";"V3F 2K1";"Canadá"
10621;"ISLAT";4;5/8/1997 00:00:00;2/9/1997 00:00:00;11/8/1997 00:00:00;2;R$ 23,73;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10622;"RICAR";4;6/8/1997 00:00:00;3/9/1997 00:00:00;11/8/1997 00:00:00;3;R$ 50,97;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10623;"FRANK";8;7/8/1997 00:00:00;4/9/1997 00:00:00;12/8/1997 00:00:00;2;R$ 97,18;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10624;"THECR";4;7/8/1997 00:00:00;4/9/1997 00:00:00;19/8/1997 00:00:00;2;R$ 94,80;"The Cracker Box";"55 Grizzly Peak Rd.";"Butte";"MT";"59801";"EUA"
10625;"ANATR";3;8/8/1997 00:00:00;5/9/1997 00:00:00;14/8/1997 00:00:00;1;R$ 43,90;"Ana Trujillo Emparedados y helados";"Avda. de la Constitución 2222";"México D.F.";;"05021";"México"
10626;"BERGS";1;11/8/1997 00:00:00;8/9/1997 00:00:00;20/8/1997 00:00:00;2;R$ 138,69;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10627;"SAVEA";8;11/8/1997 00:00:00;22/9/1997 00:00:00;21/8/1997 00:00:00;3;R$ 107,46;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10628;"BLONP";4;12/8/1997 00:00:00;9/9/1997 00:00:00;20/8/1997 00:00:00;3;R$ 30,36;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10629;"GODOS";4;12/8/1997 00:00:00;9/9/1997 00:00:00;20/8/1997 00:00:00;3;R$ 85,46;"Godos Cocina Típica";"C/ Romero, 33";"Sevilla";;"41101";"Espanha"
10630;"KOENE";1;13/8/1997 00:00:00;10/9/1997 00:00:00;19/8/1997 00:00:00;2;R$ 32,35;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10631;"LAMAI";8;14/8/1997 00:00:00;11/9/1997 00:00:00;15/8/1997 00:00:00;1;R$ 0,87;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10632;"WANDK";8;14/8/1997 00:00:00;11/9/1997 00:00:00;19/8/1997 00:00:00;1;R$ 41,38;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10633;"ERNSH";7;15/8/1997 00:00:00;12/9/1997 00:00:00;18/8/1997 00:00:00;3;R$ 477,90;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10634;"FOLIG";4;15/8/1997 00:00:00;12/9/1997 00:00:00;21/8/1997 00:00:00;3;R$ 487,38;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"França"
10635;"MAGAA";8;18/8/1997 00:00:00;15/9/1997 00:00:00;21/8/1997 00:00:00;3;R$ 47,46;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10636;"WARTH";4;19/8/1997 00:00:00;16/9/1997 00:00:00;26/8/1997 00:00:00;1;R$ 1,15;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10637;"QUEEN";6;19/8/1997 00:00:00;16/9/1997 00:00:00;26/8/1997 00:00:00;1;R$ 201,29;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
